,Catalog Number,Province/State,Centroid Latitude,Centroid Longitude,Date Collected,Estimated_Infection_Date
131,571062,Maryland,,,1987-09-20,1987-08-21
132,571064,Virginia,36.6981,-75.9089,1987-07-16,1987-06-24
133,571065,Virginia,36.92,-76.12,1987-07-16,1987-06-23
134,571066,Virginia,36.0133,-75.9678,1987-07-19,1987-06-28
135,571067,Virginia,37.025,-76.2958,1987-07-19,1987-06-28
136,571068,Virginia,37.03,-76.2894,1987-07-20,1987-06-29
137,571069,Virginia,36.61,-75.8789,1987-07-17,1987-07-01
138,571070,Virginia,37.08,-76.28,1987-07-22,1987-06-19
139,571071,Virginia,36.9392,-76.185,1987-07-21,1987-07-01
140,571072,Virginia,36.93,-76.22,1987-07-21,1987-06-23
141,571073,Virginia,36.9361,-76.2094,1987-07-22,1987-07-03
142,571074,Virginia,36.5706,-75.8722,1987-07-22,1987-07-08
143,571075,Virginia,36.92,-75.98,1987-07-22,1987-07-01
144,571076,Virginia,37.0,-76.3,1987-07-23,1987-06-27
145,571077,Virginia,37.0467,-76.2878,1987-07-24,1987-07-07
146,571078,Virginia,37.0667,-76.2875,1987-07-18,1987-06-30
147,571079,Virginia,36.9192,-76.0528,1987-07-28,1987-07-10
148,571080,Maryland,38.08,-75.2,1987-07-12,1987-06-21
149,571081,Virginia,36.9183,-76.1775,1987-07-29,1987-07-09
150,571082,Virginia,36.8333,-75.9703,1987-07-29,1987-07-14
151,571083,Virginia,36.5975,-75.8783,1987-07-29,1987-07-01
152,571084,Virginia,36.5633,-75.87,1987-07-29,1987-07-12
153,571086,North Carolina,35.1892,-75.7711,1987-07-31,1987-07-10
154,571087,Virginia,36.9519,-76.2458,1987-08-02,1987-07-12
155,571088,Virginia,36.8783,-75.9833,1987-08-02,1987-07-17
156,571089,Virginia,36.8872,-75.9869,1987-08-02,1987-07-12
157,571090,Virginia,36.8856,-75.985,1987-08-03,1987-07-14
158,571091,Virginia,37.4925,-76.2736,1987-08-02,1987-06-29
159,571092,Virginia,36.78,-75.95,1987-08-06,1987-07-18
160,571093,Virginia,36.8581,-75.9781,1987-08-06,1987-07-18
161,571094,Virginia,36.9133,-76.0711,1987-08-06,1987-07-14
162,571095,Virginia,36.78,-75.95,1987-08-07,1987-07-20
163,571096,Virginia,36.8517,-75.9756,1987-08-08,1987-07-24
164,571097,Virginia,36.7033,-75.9267,1987-08-07,1987-07-16
165,571098,Virginia,36.92,-76.17,1987-08-08,1987-07-17
166,571099,Virginia,36.92,-76.17,1987-08-08,1987-07-17
167,571100,Virginia,36.92,-76.17,1987-08-08,1987-07-12
168,571101,Virginia,36.8383,-75.9722,1987-08-08,1987-07-17
169,571102,Virginia,36.8856,-75.985,1987-08-09,1987-07-09
170,571103,Virginia,36.9683,-76.2778,1987-08-07,1987-07-17
171,571104,Virginia,36.95,-76.0,1987-08-09,1987-07-13
172,571105,Virginia,37.2103,-76.0139,1987-08-10,1987-07-23
173,571106,Virginia,36.8628,-75.98,1987-08-11,1987-07-21
174,571107,Virginia,36.7236,-75.94,1987-08-11,1987-07-12
175,571108,Virginia,36.85,-75.975,1987-08-11,1987-07-07
176,571109,Virginia,36.92,-76.05,1987-08-11,1987-07-15
177,571110,Virginia,36.92,-76.05,1987-08-12,1987-07-29
178,571111,Virginia,36.9261,-76.1589,1987-08-12,1987-07-23
179,571112,Virginia,36.915,-75.9928,1987-08-13,1987-07-28
180,571113,Virginia,36.8747,-75.9822,1987-08-13,1987-07-24
181,571114,Virginia,36.9111,-76.1033,1987-08-13,1987-07-23
182,571115,Virginia,36.93,-76.03,1987-08-13,1987-07-22
183,571116,Virginia,36.8667,-75.9794,1987-08-14,1987-07-31
184,571117,Virginia,36.9142,-76.1286,1987-08-14,1987-07-29
185,571118,Virginia,35.9147,-76.1292,1987-08-14,1987-07-24
186,571119,Virginia,36.63,-75.88,1987-08-06,1987-07-16
187,571120,Virginia,36.63,-75.88,1987-08-11,1987-07-24
188,571121,Virginia,36.97,-76.37,1987-08-15,1987-07-28
189,571122,Virginia,36.9406,-76.2261,1987-08-16,1987-07-29
190,571123,Virginia,36.92,-76.37,1987-08-14,1987-07-22
191,571124,Virginia,36.93,-76.03,1987-08-20,1987-07-25
192,571125,Virginia,36.6975,-75.9494,1987-08-20,1987-08-01
193,571126,North Carolina,36.5,-75.8569,1987-08-21,1987-08-04
194,571127,North Carolina,36.52,-75.83,1987-08-21,1987-08-03
195,571128,Virginia,36.9181,-76.1261,1987-08-23,1987-07-24
196,571129,Virginia,36.93,-76.17,1987-08-23,1987-07-24
197,571130,Virginia,36.7475,-75.9444,1987-08-24,1987-08-06
198,571132,Virginia,36.5556,-75.87,1987-08-24,1987-07-16
199,571133,Virginia,36.5667,-75.87,1987-08-24,1987-07-28
200,571134,Virginia,36.7142,-75.9319,1987-08-26,1987-08-04
201,571135,Virginia,36.8217,-75.9708,1987-08-29,1987-08-14
202,571136,Virginia,36.9297,-76.0097,1987-08-29,1987-08-10
203,571137,Virginia,36.775,-75.9547,1987-08-30,1987-08-13
204,571138,Virginia,36.8642,-75.9789,1987-08-30,1987-08-08
205,571140,Virginia,36.9319,-76.0258,1987-09-01,1987-08-11
206,571141,Virginia,36.7583,-76.9489,1987-09-01,1987-08-17
207,571142,Virginia,36.8794,-75.9836,1987-09-01,1987-08-11
208,571143,Virginia,36.8469,-75.9789,1987-09-02,1987-07-30
209,571144,Virginia,36.8289,-75.9708,1987-09-01,1987-08-11
210,571145,Virginia,36.9328,-76.1844,1987-09-03,1987-08-06
211,571146,Virginia,,,1987-09-04,1987-08-15
212,571147,Virginia,36.8175,-75.9672,1987-09-04,1987-08-19
213,571149,Virginia,36.9,-76.08,1987-09-04,1987-08-16
214,571150,Virginia,36.9053,-75.99,1987-09-04,1987-08-17
215,571151,Virginia,36.9328,-76.1972,1987-09-05,1987-08-16
216,571152,Virginia,36.8178,-75.9675,1987-09-05,1987-07-28
217,571153,Virginia,36.965,-76.2861,1987-09-06,1987-08-16
218,571154,Virginia,36.785,-75.9583,1987-09-07,1987-08-22
219,571155,Virginia,36.9067,-75.9906,1987-09-07,1987-08-16
220,571156,Virginia,36.8219,-75.9689,1987-09-08,1987-08-22
221,571157,Virginia,36.9278,-76.0056,1987-09-08,1987-08-11
222,571158,Virginia,36.93,-76.0,1987-09-09,1987-08-22
223,571159,Virginia,37.0,-76.55,1987-09-10,1987-08-09
224,571160,Virginia,36.95,-76.5,1987-08-17,1987-07-25
225,571161,Virginia,36.5661,-75.8717,1987-09-10,1987-08-20
226,571162,North Carolina,36.5144,-75.8603,1987-09-06,1987-08-12
227,571163,Virginia,36.58,-75.8733,1987-09-10,1987-08-26
228,571164,Virginia,36.7456,-75.9433,1987-09-18,1987-08-27
229,571165,Virginia,36.755,-75.9467,1987-09-18,1987-09-01
230,571166,Virginia,36.8628,-75.9781,1987-09-18,1987-08-30
231,571167,Virginia,36.9675,-76.2758,1987-09-20,1987-08-17
232,571168,Virginia,,,1987-09-20,1987-09-01
233,571169,Virginia,36.9131,-76.0781,1987-09-21,1987-08-22
234,571170,Virginia,36.8608,-75.9778,1987-09-21,1987-08-31
235,571171,Virginia,36.9278,-76.0056,1987-09-19,1987-08-28
236,571172,Virginia,36.9311,-76.0364,1987-09-22,1987-08-31
237,571173,Virginia,36.725,-75.9353,1987-09-23,1987-09-06
238,571174,Virginia,36.5753,-75.8722,1987-09-23,1987-09-06
239,571175,North Carolina,36.5439,-75.8667,1987-09-23,1987-08-18
240,571176,North Carolina,36.515,-75.8617,1987-09-23,1987-09-08
241,571177,North Carolina,36.42,-75.8339,1987-09-23,1987-09-05
242,571178,North Carolina,36.5439,-75.8667,1987-09-23,1987-08-20
243,571179,Virginia,,,1987-09-29,1987-09-11
244,571180,Virginia,36.8333,-75.9703,1987-09-29,1987-09-12
245,571181,Virginia,36.8453,-75.9733,1987-09-29,1987-09-12
246,571182,Virginia,36.7,-75.9236,1987-10-01,1987-09-09
247,571183,North Carolina,36.5375,-75.8656,1987-10-02,1987-09-13
248,571184,Virginia,36.7392,-75.9383,1987-10-13,1987-09-17
249,571185,Virginia,36.9022,-75.9914,1987-10-12,1987-09-15
250,571186,Virginia,36.5603,-75.42,1987-10-16,1987-09-10
251,571187,Virginia,36.9214,-76.0492,1987-10-17,1987-09-26
252,571188,North Carolina,35.2178,-75.5325,1987-10-17,1987-09-24
253,571189,North Carolina,36.3647,-75.8467,1987-10-21,1987-09-18
254,571190,North Carolina,36.3647,-75.8467,1987-10-21,1987-09-28
255,571191,Virginia,37.0,-75.0,1987-10-19,1987-09-18
256,571192,Virginia,37.87,-75.35,1987-10-21,1987-09-20
257,571197,Virginia,37.5042,-76.1883,1987-07-18,1987-06-24
258,571198,Virginia,37.9494,-75.3025,1987-07-25,1987-07-07
259,571204,Virginia,36.62,-75.9,1988-01-23,1988-01-06
260,571205,Virginia,37.17,-76.38,1987-06-06,1987-05-17
261,571221,North Carolina,34.68,-76.55,1987-10-31,1987-10-12
262,571223,North Carolina,35.27,-75.55,1988-03-26,1988-03-05
263,571224,North Carolina,35.2347,-75.5972,1988-03-19,1988-02-26
264,571230,North Carolina,34.6944,-76.6861,1988-04-24,1988-04-07
265,571231,North Carolina,34.6944,-76.6861,1988-04-24,1988-04-09
266,571237,Maryland,38.3397,-75.08,1987-07-22,1987-07-06
267,571239,Maryland,38.08,-75.2,1987-06-19,1987-06-01
268,571240,Virginia,36.9133,-76.0756,1987-07-12,1987-06-18
269,571241,Georgia,31.0,-80.0,1987-11-24,1987-11-06
270,571242,South Carolina,32.75,-79.0,1987-11-23,1987-11-07
271,571245,Virginia,37.18,-76.38,1987-08-08,1987-07-18
272,571246,Virginia,37.0517,-76.2856,1987-08-12,1987-07-27
273,571247,Virginia,37.33,-76.67,1987-08-16,1987-07-30
274,571249,Virginia,37.2533,-76.4278,1987-08-12,1987-07-20
275,571250,Virginia,37.18,-76.38,1987-08-25,1987-07-27
278,571259,North Carolina,34.68,-76.77,1987-10-22,1987-10-01
279,MME 2272,North Carolina,35.775,-75.5417,1987-05-19,1987-05-02
280,MME 2312,Georgia,30.7375,-81.4569,1987-03-26,1987-02-28
281,MME 2447,Virginia,37.37,-76.72,1987-05-27,1987-05-01
282,MME 2448,Virginia,36.92,-76.18,1987-05-29,1987-05-15
283,MME 2451,Virginia,36.0,-75.98,1987-06-09,1987-05-17
