"","X","Catalog.Number","Province.State","Centroid.Latitude","Centroid.Longitude","Date.Collected","Estimated_Infection_Date","Lat"
"91",92,"571020","Virginia",38.08,-75.2,"1987-06-27","1987-05-28",38
"94",95,"571024","Virginia",37.4292,-76.2511,"1987-07-06","1987-06-11",37
"95",96,"571025","Maryland",38.08,-75.2,"1987-07-08","1987-06-20",38
"96",97,"571026","Virginia",37.43,-76.25,"1987-07-12","1987-06-18",37
"97",98,"571027","Maryland",38.3725,-75.0683,"1987-07-17","1987-06-10",38
"99",100,"571029","Virginia",37.0058,-76.3489,"1987-08-04","1987-07-07",37
"100",101,"571030","Virginia",37.0022,-76.0275,"1987-08-05","1987-06-27",37
"102",103,"571032","Virginia",36.8572,-75.9947,"1987-08-05","1987-07-12",37
"103",104,"571035","Virginia",36.93,-76.03,"1987-08-14","1987-07-20",37
"104",105,"571036","Virginia",36.9153,-76.9928,"1987-08-12","1987-07-16",37
"105",106,"571037","Virginia",36.915,-75.9928,"1987-08-14","1987-07-23",37
"106",107,"571038","Virginia",36.915,-75.9928,"1987-08-14","1987-07-12",37
"107",108,"571039","Virginia",36.93,-76.03,"1987-08-14","1987-07-26",37
"108",109,"571040","Virginia",36.9283,-76.0061,"1987-08-14","1987-07-24",37
"110",111,"571042","Virginia",36.9067,-76.0886,"1987-08-15","1987-07-30",37
"111",112,"571043","Virginia",36.9,-75.9889,"1987-08-15","1987-07-24",37
"115",116,"571047","Virginia",37,-76.3,"1987-09-14","1987-08-25",37
"116",117,"571048","Virginia",36.7025,-75.9275,"1987-09-25","1987-09-05",37
"117",118,"571049","Virginia",36.8983,-75.9886,"1987-09-25","1987-09-06",37
"118",119,"571050","Virginia",36.92,-76.17,"1987-09-27","1987-09-08",37
"120",121,"571052","Virginia",37.3425,-76.005,"1987-10-17","1987-09-19",37
"123",124,"571055","Virginia",36.93,-76.03,"1987-08-12","1987-07-14",37
"124",125,"571056","Virginia",36.9122,-76.0833,"1987-08-11","1987-07-16",37
"126",127,"571058","Virginia",37.9575,-75.2969,"1987-07-23","1987-07-03",38
"128",129,"571060","Virginia",36.7119,-75.9303,"1987-09-14","1987-08-26",37
"131",132,"571064","Virginia",36.6981,-75.9089,"1987-07-16","1987-06-24",37
"132",133,"571065","Virginia",36.92,-76.12,"1987-07-16","1987-06-23",37
"133",134,"571066","Virginia",36.0133,-75.9678,"1987-07-19","1987-06-28",36
"134",135,"571067","Virginia",37.025,-76.2958,"1987-07-19","1987-06-28",37
"136",137,"571069","Virginia",36.61,-75.8789,"1987-07-17","1987-07-01",37
"137",138,"571070","Virginia",37.08,-76.28,"1987-07-22","1987-06-19",37
"139",140,"571072","Virginia",36.93,-76.22,"1987-07-21","1987-06-23",37
"140",141,"571073","Virginia",36.9361,-76.2094,"1987-07-22","1987-07-03",37
"142",143,"571075","Virginia",36.92,-75.98,"1987-07-22","1987-07-01",37
"143",144,"571076","Virginia",37,-76.3,"1987-07-23","1987-06-27",37
"144",145,"571077","Virginia",37.0467,-76.2878,"1987-07-24","1987-07-07",37
"145",146,"571078","Virginia",37.0667,-76.2875,"1987-07-18","1987-06-30",37
"146",147,"571079","Virginia",36.9192,-76.0528,"1987-07-28","1987-07-10",37
"147",148,"571080","Maryland",38.08,-75.2,"1987-07-12","1987-06-21",38
"149",150,"571082","Virginia",36.8333,-75.9703,"1987-07-29","1987-07-14",37
"150",151,"571083","Virginia",36.5975,-75.8783,"1987-07-29","1987-07-01",37
"152",153,"571086","North Carolina",35.1892,-75.7711,"1987-07-31","1987-07-10",35
"156",157,"571090","Virginia",36.8856,-75.985,"1987-08-03","1987-07-14",37
