dolphin_id,sight_date,lat,lon
48,3/11/99,34.669670,-76.617330
48,3/23/99,34.674670,-76.634830
49,2/7/97,34.635500,-76.521600
49,2/26/97,34.660830,-76.586500
49,3/20/97,34.652830,-76.562830
50,12/17/96,34.665330,-76.596330
50,11/14/02,34.673500,-76.632670
51,4/16/95,34.625830,-76.542730
51,2/7/96,34.673470,-76.629920
51,2/10/96,34.673470,-76.629920
51,1/6/03,34.692170,-76.677500
52,11/19/93,34.673470,-76.629920
52,10/22/94,34.653120,-76.572430
52,2/27/95,34.665330,-76.596330
52,3/20/95,34.653120,-76.572430
52,2/22/96,34.665330,-76.596330
52,12/17/96,34.665330,-76.596330
52,12/30/96,34.674500,-76.629830
52,2/7/97,34.635500,-76.521600
52,11/10/98,34.677000,-76.647500
52,1/25/99,34.685830,-76.673000
52,2/11/99,34.673470,-76.629920
52,8/3/99,35.862070,-75.617180
52,8/7/99,35.781850,-75.574620
52,8/17/99,35.822030,-75.604050
52,12/16/99,34.620500,-76.540330
52,3/18/04,34.678830,-76.662830
52,3/25/04,34.622670,-76.544670
52,12/16/04,34.676070,-76.669220
52,2/2/06,34.673470,-76.629920
53,12/13/95,34.673470,-76.629920
53,11/2/98,34.673000,-76.651500
54,1/3/95,34.653120,-76.572430
54,1/13/97,34.665330,-76.596330
54,2/2/98,34.676330,-76.643670
54,2/5/99,34.669500,-76.610830
54,3/24/03,34.673170,-76.623330
55,11/19/97,34.614000,-76.536170
55,6/23/99,35.928630,-75.639530
55,8/31/13,36.933717,-76.017100
55,8/31/13,36.934317,-76.027350
56,2/3/97,34.673470,-76.629920
56,3/22/98,34.625830,-76.542730
56,3/27/98,34.659470,-76.578630
56,8/7/99,35.781850,-75.574620
56,8/14/99,35.939830,-75.657880
56,2/4/05,34.651830,-76.562670
56,8/31/13,36.929100,-76.162700
56,7/23/14,36.914000,-76.344633
57,2/26/98,34.656500,-76.572000
58,8/22/98,35.035020,-76.496280
58,9/5/98,35.008000,-76.505700
58,8/25/00,34.988360,-76.756520
58,2/14/03,35.191510,-75.764220
58,3/23/03,35.150830,-75.855620
58,6/29/03,35.197320,-75.717030
58,6/26/07,35.065520,-76.482590
58,8/10/10,35.889180,-75.628340
59,9/5/98,35.008000,-76.505700
59,3/25/03,35.150030,-75.855020
59,7/11/06,35.975720,-75.673770
59,9/25/13,36.930975,-76.345732
77,1/26/96,34.673470,-76.629920
77,2/26/98,34.656500,-76.572000
77,3/18/04,34.678830,-76.662830
78,8/19/95,34.712670,-76.680170
78,7/17/97,35.787500,-75.572222
78,1/1/98,34.686500,-76.685170
78,8/19/98,35.821300,-75.595200
78,8/20/98,35.878720,-75.624100
78,8/22/98,35.857630,-75.615030
78,9/21/98,35.848550,-75.609680
78,9/22/98,35.815100,-75.595220
78,9/24/98,35.799120,-75.582030
78,9/25/98,35.826780,-75.599570
78,9/26/98,35.880780,-75.624370
78,9/26/98,35.889350,-75.631470
78,8/2/99,35.887570,-75.624600
78,8/3/99,35.831380,-75.600200
78,8/6/99,35.811770,-75.590480
78,8/6/99,35.834630,-75.602520
78,8/6/99,35.872170,-75.621130
78,9/3/99,35.770900,-75.582830
78,12/20/99,34.687830,-76.600170
78,7/8/00,34.962820,-76.399100
78,7/18/00,35.767950,-75.541220
78,7/18/00,35.935030,-75.667030
78,7/19/00,35.835760,-75.602430
78,7/19/00,35.835080,-75.603450
78,7/24/00,35.898620,-75.636880
78,7/29/00,35.942150,-75.633320
78,8/1/00,35.817320,-75.592870
78,8/5/00,35.797730,-75.613630
78,8/6/00,35.784130,-75.573820
78,8/8/00,35.889000,-75.618700
78,8/10/00,35.842070,-75.607570
78,8/11/00,35.897980,-75.630200
