"","X","Patch","National.Database.Number","State","Latitude","Longitude","Observation.Date","Estimated_Infection_Date","Sex","Age.Class","Lat"
"1367",12216,"Full","NE-2014-1160139","VA",36.705594,"Ð75.92762","2014-09-20","2014-09-03","FEMALE","UNKNOWN",37
"1370",12286,"Full","SE-2014-1159994","NC",35.2247,"Ð75.52856","2014-10-11","2014-09-19","FEMALE","YEARLING",35
"1371",12413,"Full","NE-2014-1159862","NJ",40.077536,"Ð74.040439","2014-08-23","2014-07-15","MALE","ADULT",40
"1373",12556,"Full","NE-2014-1159930","VA",37.11348,"Ð76.26705","2014-08-08","2014-07-24","MALE","UNKNOWN",37
"1374",12600,"Full","NE-2014-1159932","VA",37.8587,"Ð75.39292","2014-09-27","2014-09-04","FEMALE","UNKNOWN",38
"1375",12601,"Full","NE-2014-1159933","VA",36.93101,"Ð76.18971","2014-09-28","2014-09-08","FEMALE","UNKNOWN",37
"1376",12602,"Full","NE-2014-1159934","VA",36.920392,"Ð76.121232","2014-09-28","2014-09-04","FEMALE","UNKNOWN",37
"1377",12603,"Full","NE-2014-1159935","VA",36.914562,"Ð76.067889","2014-10-02","2014-09-09","MALE","UNKNOWN",37
"1378",12911,"Full","NE-2014-1158507","VA",36.940661,"Ð76.40297","2014-07-20","2014-06-30","UNKNOWN","UNKNOWN",37
"1380",13638,"Full","SE-2015-1170970","GA",31.29242,"Ð81.3795","2015-01-29","2014-12-31","UNKNOWN","UNKNOWN",31
"1381",13639,"Full","SE-2015-1170971","GA",30.95853,"Ð81.40544","2015-02-05","2015-01-03","UNKNOWN","ADULT",31
"1384",13870,"Full","SE-2015-1170975","GA",30.72529,"Ð81.45174","2015-02-11","2015-01-20","MALE","SUBADULT",31
"1385",13967,"Full","SE-2015-1170711","SC",32.71439,"Ð79.94712","2015-01-19","2014-12-19","UNKNOWN","SUBADULT",33
"1386",13968,"Full","SE-2015-1171113","NC",35.23431,"Ð75.57454","2015-02-25","2015-01-23","UNKNOWN","PUP/CALF",35
"1387",13983,"Full","SE-2015-1171852","GA",31.68273,"Ð81.13547","2015-02-15","2015-01-18","UNKNOWN","ADULT",32
"1388",13984,"Full","SE-2015-1171855","GA",31.59985,"Ð81.18462","2015-02-23","2015-01-16","UNKNOWN","ADULT",32
"1389",14103,"Full","SE-2015-1171853","GA",31.13747,"Ð81.37658","2015-02-21","2015-02-07","FEMALE","ADULT",31
"1390",14153,"Full","SE-2015-1171857","GA",31.04244,"Ð81.4113","2015-02-25","2015-01-30","MALE","PUP/CALF",31
"1391",14247,"Full","SE-2015-1171033","NC",34.90297,"Ð76.24957","2015-02-18","2015-01-21","FEMALE","ADULT",35
"1394",14654,"Full","SE-2014-1170709","SC",33.8288,"Ð78.6349","2014-11-20","2014-10-30","FEMALE","ADULT",34
"1395",15126,"Full","NE-2014-1186324","DE",38.862921,"Ð75.248809","2014-09-13","2014-08-18","UNKNOWN","ADULT",39
"1396",15284,"Full","NE-2015-1171195","VA",36.74956,"Ð75.944","2015-02-14","2015-01-25","MALE","UNKNOWN",37
"1397",15319,"Full","NE-2015-1171197","VA",36.916737,"Ð75.992472","2015-02-23","2015-02-02","MALE","",37
"1398",16782,"Full","NE-2015-1171023","VA",36.91877,"Ð75.9937","2015-02-04","2015-01-20","FEMALE","UNKNOWN",37
"1399",16783,"Full","NE-2015-1171024","VA",36.655245,"Ð75.902568","2015-02-14","2015-01-09","UNKNOWN","UNKNOWN",37
"1400",16809,"Full","SE-2015-1171016","GA",30.97072,"Ð81.42131","2015-02-14","2015-01-26","FEMALE","ADULT",31
"1401",17409,"Full","NE-2013-1154662","MD",38.234001,"Ð75.137269","2013-08-31","2013-07-29","UNKNOWN","ADULT",38
"1402",17917,"Full","SE-2014-1155972","GA",31.99132,"Ð81.01965","2014-03-16","2014-02-21","MALE","SUBADULT",32
"1403",17928,"Full","NE-2014-1158354","MD",38.381086,"Ð76.386921","2014-06-20","2014-05-22","UNKNOWN","",38
"1404",17929,"Full","NE-2014-1158567","VA",37.83869,"Ð76.24985","2014-07-12","2014-06-15","UNKNOWN","UNKNOWN",38
"1405",17940,"Full","SE-2013-1147940","NC",36.452322,"Ð75.84433","2013-04-15","2013-03-27","MALE","SUBADULT",36
"1406",17941,"Full","NE-2013-1149478","VA",37.22001,"Ð76.01256","2013-08-03","2013-07-04","MALE","UNKNOWN",37
"1408",18004,"Full","SE-2013-1152939","GA",31.88163,"Ð80.96682","2013-11-18","2013-10-29","FEMALE","ADULT",32
"1409",18377,"Full","SE-2013-1148124","NC",34.77252,"Ð76.4002","2013-04-27","2013-04-01","MALE","",35
"1410",18378,"Full","SE-2013-1153208","NC",35.25323,"Ð75.60492","2013-12-12","2013-11-18","FEMALE","SUBADULT",35
"1411",18764,"Full","NE-2013-1152095","NJ",39.388591,"Ð74.383046","2013-09-12","2013-08-28","FEMALE","ADULT",39
"1412",18765,"Full","NE-2013-1153142","DE",38.609611,"Ð75.067885","2013-11-17","2013-10-17","UNKNOWN","SUBADULT",39
"1413",18785,"Full","SE-2014-1157194","NC",34.72429,"Ð76.70903","2014-06-02","2014-05-12","FEMALE","SUBADULT",35
