"","X","Patch","National.Database.Number","State","Latitude","Longitude","Observation.Date","Estimated_Infection_Date","Sex","Age.Class","Lat"
"703",8517,"Full","NE-2013-1154785","VA",37.476625,"Ð75.96273","2013-12-26","2013-11-26","UNKNOWN","UNKNOWN",37
"704",8523,"Full","SE-2013-1153079","GA",30.96896,"Ð81.42207","2013-11-21","2013-10-25","MALE","UNKNOWN",31
"705",8524,"Full","SE-2013-1153080","GA",30.71746,"Ð81.44818","2013-11-22","2013-10-29","MALE","YEARLING",31
"706",8525,"Full","SE-2013-1153081","GA",30.72417,"Ð81.45111","2013-11-23","2013-10-27","MALE","SUBADULT",31
"708",8527,"Full","SE-2013-1153083","GA",30.84276,"Ð81.42789","2013-11-28","2013-11-06","MALE","SUBADULT",31
"709",8528,"Full","SE-2013-1153084","GA",30.95633,"Ð81.4071","2013-11-28","2013-10-29","FEMALE","UNKNOWN",31
"711",8551,"Full","SE-2013-1149862","NC",36.537643,"Ð75.864764","2013-08-18","2013-07-31","MALE","ADULT",37
"713",8553,"Full","NE-2013-1152707","NY",40.5999,"Ð73.6721","2013-11-07","2013-10-21","MALE","ADULT",41
"714",8554,"Full","SE-2013-1152708","NC",34.68411,"Ð77.01826","2013-11-09","2013-10-06","UNKNOWN","",35
"715",8555,"Full","SE-2013-1152709","NC",34.94256,"Ð76.71308","2013-11-10","2013-10-17","MALE","SUBADULT",35
"716",8557,"Full","SE-2013-1152711","NC",33.92306,"Ð78.21404","2013-11-10","2013-10-19","MALE","SUBADULT",34
"717",8558,"Full","SE-2013-1152716","NC",33.86772,"Ð78.01","2013-11-09","2013-10-16","MALE","ADULT",34
"719",8564,"Full","SE-2013-1153219","SC",32.1384,"Ð80.75477","2013-11-18","2013-10-18","MALE","SUBADULT",32
"721",8566,"Full","SE-2013-1153221","SC",32.559183,"Ð80.231002","2013-11-21","2013-10-20","MALE","SUBADULT",33
"722",8567,"Full","SE-2013-1153222","SC",32.5288,"Ð80.25805","2013-11-23","2013-10-24","MALE","ADULT",33
"723",8568,"Full","SE-2013-1153223","SC",32.4782,"Ð80.3365","2013-11-25","2013-10-27","FEMALE","ADULT",32
"724",8578,"Full","NE-2014-1158248","NJ",38.999235,"Ð74.78721","2014-06-13","2014-05-14","UNKNOWN","ADULT",39
"725",8579,"Full","NE-2014-1158249","NJ",39.969241,"Ð74.065282","2014-06-20","2014-05-22","UNKNOWN","",40
"729",8585,"Full","NE-2014-1158255","NY",40.589722,"Ð74.064594","2014-07-01","2014-06-10","FEMALE","SUBADULT",41
"732",8590,"Full","SE-2013-1150362","NC",36.075447,"Ð75.803951","2013-08-29","2013-07-28","UNKNOWN","ADULT",36
"733",8603,"Full","NE-2013-1152750","VA",37.09842,"Ð75.97994","2013-11-03","2013-10-07","UNKNOWN","UNKNOWN",37
"734",8606,"Full","NE-2013-1152181","NJ",39.657481,"Ð74.165877","2013-09-23","2013-09-04","MALE","ADULT",40
"735",8607,"Full","SE-2013-1152179","NC",33.91095,"Ð78.12775","2013-11-02","2013-10-09","MALE","",34
"736",8608,"Full","NE-2013-1152180","NJ",39.298165,"Ð74.582853","2013-09-19","2013-08-30","FEMALE","SUBADULT",39
"737",8609,"Full","NE-2013-1152182","NJ",39.428087,"Ð74.34019","2013-09-26","2013-09-12","MALE","ADULT",39
"738",8610,"Full","NE-2013-1152183","NJ",39.88694,"Ð74.081069","2013-10-11","2013-09-05","UNKNOWN","ADULT",40
"739",8611,"Full","NE-2013-1152184","NJ",39.165031,"Ð74.888936","2013-10-05","2013-09-12","MALE","ADULT",39
"741",8613,"Full","SE-2013-1153270","SC",32.51734,"Ð80.27816","2013-11-26","2013-10-29","MALE","SUBADULT",33
"742",8614,"Full","SE-2013-1153271","SC",32.599905,"Ð80.091464","2013-11-30","2013-10-29","UNKNOWN","YEARLING",33
"743",8615,"Full","SE-2013-1153272","SC",32.608333,"Ð80.01333","2013-11-30","2013-11-09","FEMALE","SUBADULT",33
