,Patch,National Database Number,State,Latitude,Longitude,Observation Date,Estimated_Infection_Date,Sex,Age Class
8104,Full,NE-2013-1149707,VA,37.309411,Ð76.020449,2013-08-11,2013-07-17,UNKNOWN,UNKNOWN
8105,Full,NE-2013-1149708,VA,37.309528,Ð76.02041,2013-08-11,2013-07-12,FEMALE,UNKNOWN
8109,Full,SE-2013-1149713,NC,34.517247,Ð77.374775,2013-08-10,2013-07-12,FEMALE,ADULT
8111,Full,NE-2013-1150312,VA,36.852389,Ð75.974558,2013-08-24,2013-07-24,MALE,UNKNOWN
8112,Full,SE-2013-1150313,SC,32.674446,Ð79.966366,2013-08-13,2013-07-16,MALE,ADULT
8113,Full,NE-2013-1150314,VA,36.59135,Ð75.8769,2013-08-25,2013-07-21,UNKNOWN,UNKNOWN
8114,Full,NE-2013-1150315,VA,36.60398,Ð75.8806,2013-08-25,2013-07-28,UNKNOWN,UNKNOWN
8115,Full,SE-2013-1151862,NC,35.057989,Ð76.083901,2013-10-10,2013-09-14,FEMALE,ADULT
8118,Full,SE-2014-1155817,GA,31.16831,Ð81.35548,2014-02-28,2014-02-09,MALE,YEARLING
8126,Full,NE-2013-1150601,NY,40.598539,Ð73.47425,2013-07-09,2013-06-21,MALE,ADULT
8136,Full,NE-2013-1150732,VA,37.93546,Ð75.31222,2013-09-08,2013-08-16,MALE,UNKNOWN
8137,Full,NE-2013-1150733,VA,37.948333,Ð75.304417,2013-09-08,2013-08-10,FEMALE,UNKNOWN
8138,Full,NE-2013-1150734,VA,37.954114,Ð75.300578,2013-09-09,2013-08-07,FEMALE,UNKNOWN
8139,Full,NE-2013-1150735,VA,37.22219,Ð76.41173,2013-09-07,2013-08-16,MALE,UNKNOWN
8140,Full,NE-2013-1150736,VA,37.37941,Ð76.41729,2013-09-07,2013-08-09,UNKNOWN,UNKNOWN
8141,Full,SE-2014-1154996,NC,35.27246,Ð75.53477,2014-01-17,2013-12-13,MALE,ADULT
8144,Full,SE-2014-1154823,NC,35.54998,Ð75.46371,2014-01-09,2013-12-24,FEMALE,ADULT
8145,Full,SE-2014-1155616,NC,36.141317,Ð75.73235,2014-02-19,2014-01-26,MALE,PUP/CALF
8146,Full,SE-2014-1155617,NC,33.87209,Ð77.95771,2014-02-23,2014-01-30,MALE,ADULT
8156,Full,NE-2013-1150316,VA,36.91571,Ð76.12,2013-08-25,2013-07-20,FEMALE,UNKNOWN
8157,Full,NE-2013-1150317,VA,37.10713,Ð75.97584,2013-08-25,2013-07-26,UNKNOWN,UNKNOWN
8158,Full,NE-2013-1150318,VA,36.63616,Ð75.89352,2013-08-25,2013-07-30,UNKNOWN,UNKNOWN
8159,Full,NE-2013-1150319,VA,36.9284,Ð76.00762,2013-08-25,2013-08-06,UNKNOWN,UNKNOWN
8160,Full,NE-2013-1150320,VA,36.74867,Ð75.94383,2013-08-25,2013-07-28,MALE,UNKNOWN
